# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.4386474558710187	0.43781860706020154	0.4392927965360773	0.4384861293922027
HALLMARK_ALLOGRAFT_REJECTION	0.12849594561893085	0.1296091883357535	0.13057123569876436	0.12406956759669693
HALLMARK_ANDROGEN_RESPONSE	0.34357298870846736	0.3489875720811613	0.34567468228122444	0.34500112249817244
HALLMARK_ANGIOGENESIS	0.18898680955394362	0.18585481067202186	0.19281140012828657	0.18007067596497825
HALLMARK_APICAL_JUNCTION	0.193804390936181	0.19675811051567219	0.19818021011822406	0.18927286884322578
HALLMARK_APICAL_SURFACE	0.09817776926328864	0.11318488456614584	0.10783328379585054	0.10629110104232783
HALLMARK_APOPTOSIS	0.3578594692211056	0.3597752487095676	0.35948457636578857	0.3542916507630645
HALLMARK_BILE_ACID_METABOLISM	0.10525540768274892	0.10569455244372875	0.10738922698033214	0.09781627660437714
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3737202009742789	0.37688152075158043	0.38086531196359774	0.3652531720620454
HALLMARK_COAGULATION	0.0292191118653852	0.02543476712301085	0.029161818264824977	0.015614452191068552
HALLMARK_COMPLEMENT	0.11347265522450495	0.11695170597871107	0.11927972407608357	0.10670309009877785
HALLMARK_DNA_REPAIR	0.5401388964732864	0.5387109970146117	0.5427011802923283	0.5439112776111658
HALLMARK_E2F_TARGETS	0.6546278081832584	0.6562861652280217	0.6520541541268382	0.6556574515413802
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.08661031799031012	0.08929973455316877	0.09354594177737731	0.08356529908290022
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.08367057789184118	0.07632468602018758	0.08358424934427486	0.07664549488184619
HALLMARK_ESTROGEN_RESPONSE_LATE	0.2021294292129762	0.19590178669681793	0.20407501074646073	0.19611369078010324
HALLMARK_FATTY_ACID_METABOLISM	0.4304772758572276	0.4345271152061473	0.43573721456047404	0.43192986099988007
HALLMARK_G2M_CHECKPOINT	0.5829193870992314	0.5860568688343224	0.5823914188050499	0.5840894079690806
HALLMARK_GLYCOLYSIS	0.3432176869126462	0.3436470867263128	0.3441475704584342	0.3414051550686907
HALLMARK_HEDGEHOG_SIGNALING	0.07860075990535281	0.07757484796573944	0.07420068125882248	0.07812086534435418
HALLMARK_HEME_METABOLISM	0.2841294175533143	0.28796428606771807	0.28865296955291186	0.28203056581622066
HALLMARK_HYPOXIA	0.20731758703441325	0.20846504949385505	0.2117957231978777	0.2008945835118238
HALLMARK_IL2_STAT5_SIGNALING	0.14198882704884877	0.14518267948367683	0.14414460262691894	0.14284228755581077
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0677540026540373	0.0670219675329469	0.06534487721420049	0.06811475915994564
HALLMARK_INFLAMMATORY_RESPONSE	-0.01387989968495407	-0.014294016052020617	-0.01088462192867978	-0.023440408496110954
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.10130957005670506	0.10319246974206263	0.10819746648765677	0.10598110862989446
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.053193975935291	0.051306519603387585	0.05434899291548479	0.0462562452201147
HALLMARK_KRAS_SIGNALING_DN	-0.17780007618336344	-0.18112203423233764	-0.17588791120183975	-0.18913661041054292
HALLMARK_KRAS_SIGNALING_UP	-0.0753236077219619	-0.06741411794971876	-0.07083103414361762	-0.0733439818836461
HALLMARK_MITOTIC_SPINDLE	0.3857543425773815	0.39089928610412966	0.3842716786158622	0.3825712051726276
HALLMARK_MTORC1_SIGNALING	0.5824403177599453	0.5844333499037992	0.5851869153335537	0.5845283049049927
HALLMARK_MYC_TARGETS_V1	0.8086352984252788	0.8083743464602475	0.8072686616333326	0.8108633895894571
HALLMARK_MYC_TARGETS_V2	0.5903340240633267	0.5772749878322366	0.5830629983568534	0.5846761363945115
HALLMARK_MYOGENESIS	0.13177150068368768	0.12951577974303294	0.13121349428982054	0.12670106031090927
HALLMARK_NOTCH_SIGNALING	0.14830972494318273	0.1567090807097717	0.14667986013928722	0.14727596415796346
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.6797373705071914	0.681828751008051	0.6805419406302197	0.679908324045995
HALLMARK_P53_PATHWAY	0.28891023050423487	0.29096953691027333	0.29146478862648567	0.2901706324261718
HALLMARK_PANCREAS_BETA_CELLS	0.08896147306593388	0.08225288650446033	0.09057596478117295	0.08574333050159634
HALLMARK_PEROXISOME	0.30889917500480774	0.3093061592844911	0.31140341396365223	0.3072376323933119
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.3940711548132176	0.40146172285329146	0.40236130986747093	0.39991691774741933
HALLMARK_PROTEIN_SECRETION	0.4609036996614341	0.46942583004381505	0.4646946801541637	0.4669576479615231
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.426104272988295	0.43075988732534737	0.4357476348753898	0.42658024935626654
HALLMARK_SPERMATOGENESIS	0.177978732585675	0.19007432566598795	0.1840842108395282	0.18650405269999432
HALLMARK_TGF_BETA_SIGNALING	0.25973104537663455	0.26889394756273494	0.2585749260506877	0.258223193192932
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.07607151395915707	0.0774577218003135	0.07916007949683146	0.0660409534592178
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.6210149479501655	0.616921213297931	0.619675795812889	0.6236195437026024
HALLMARK_UV_RESPONSE_DN	0.08959470064784245	0.0943275250864733	0.09360958569881637	0.0917592076023328
HALLMARK_UV_RESPONSE_UP	0.38354763289111465	0.38833549205314627	0.3876351686178875	0.37989194293308937
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.28165373542277855	0.28373020234822666	0.28412886649549784	0.2736994897615534
HALLMARK_XENOBIOTIC_METABOLISM	0.26393517481803613	0.2649118750729179	0.2672663785513396	0.25739375713525864
# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.4386474558710187	0.43781860706020154	0.4392927965360773	0.4384861293922027
HALLMARK_ALLOGRAFT_REJECTION	0.12849594561893085	0.1296091883357535	0.13057123569876436	0.12406956759669693
HALLMARK_ANDROGEN_RESPONSE	0.34357298870846736	0.3489875720811613	0.34567468228122444	0.34500112249817244
HALLMARK_ANGIOGENESIS	0.18898680955394362	0.18585481067202186	0.19281140012828657	0.18007067596497825
HALLMARK_APICAL_JUNCTION	0.193804390936181	0.19675811051567219	0.19818021011822406	0.18927286884322578
HALLMARK_APICAL_SURFACE	0.09817776926328864	0.11318488456614584	0.10783328379585054	0.10629110104232783
HALLMARK_APOPTOSIS	0.3578594692211056	0.3597752487095676	0.35948457636578857	0.3542916507630645
HALLMARK_BILE_ACID_METABOLISM	0.10525540768274892	0.10569455244372875	0.10738922698033214	0.09781627660437714
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3737202009742789	0.37688152075158043	0.38086531196359774	0.3652531720620454
HALLMARK_COAGULATION	0.0292191118653852	0.02543476712301085	0.029161818264824977	0.015614452191068552
HALLMARK_COMPLEMENT	0.11347265522450495	0.11695170597871107	0.11927972407608357	0.10670309009877785
